# size  PMF[kT]  dPMF[kT]
1 0 0
2 24.3214 0.120389
3 37.6625 0.102683
4 39.8129 0.0983317
5 54.0991 0.107757
6 56.6762 0.105021
7 71.0864 0.110531
8 74.1527 0.108879
9 88.601 0.112567
10 92.1214 0.111538
11 106.67 0.114775
12 110.268 0.113836
13 125.357 0.117635
14 130.169 0.1173
15 144.97 0.119218
16 149.152 0.118738
17 163.839 0.120538
18 168.194 0.120179
19 182.866 0.121785
20 187.439 0.121552
21 202.162 0.123018
22 206.875 0.122861
23 221.6 0.124234
24 226.444 0.124149
25 241.195 0.125429
26 246.175 0.125418
27 261.006 0.126645
28 266.019 0.126653
29 280.833 0.127839
30 285.929 0.127893
31 300.675 0.12905
32 305.874 0.12916
33 320.608 0.130287
34 325.872 0.130433
35 340.635 0.13156
36 345.842 0.131674
37 360.528 0.13285
38 365.644 0.132912
39 380.185 0.134225
40 385.131 0.134198
41 399.313 0.136048
42 403.999 0.135896
