# size  PMF[kT]  dPMF[kT]
2 0 nan
3 2.55972 nan
4 4.5816 nan
5 6.72119 nan
6 9.3831 nan
7 11.2906 nan
8 14.0376 nan
9 16.2144 nan
10 19.0858 nan
11 21.0453 nan
12 23.8955 nan
13 25.747 nan
14 28.1341 nan
15 30.4789 nan
16 32.9778 nan
17 35.2385 nan
18 37.6156 nan
19 39.5842 nan
20 42.3765 nan
21 46.8753 nan
22 48.1964 nan
23 50.1333 nan
24 52.8686 nan
25 55.1618 nan
26 57.9626 nan
27 59.995 nan
28 62.3076 nan
29 64.6786 nan
30 67.472 nan
31 69.9842 nan
32 72.659 nan
33 74.9417 nan
34 77.5218 nan
35 80.0482 nan
36 82.737 nan
37 85.3582 nan
38 88.1924 nan
